"inst_name","city","state","herd_year","carnegie_cycle","funding_type","data"
"university of arizona","tucson","AZ",1974,1973,"federal",14558
"university of arizona","tucson","AZ",1974,1973,"total",28103
"california institute of technology","pasadena","CA",1974,1973,"federal",17751
"california institute of technology","pasadena","CA",1974,1973,"total",19960
"stanford university","stanford","CA",1974,1973,"federal",50262
"stanford university","stanford","CA",1974,1973,"total",53950
"university of southern california","los angeles","CA",1974,1973,"federal",20916
"university of southern california","los angeles","CA",1974,1973,"total",24624
"yale university","new haven","CT",1974,1973,"federal",31480
"yale university","new haven","CT",1974,1973,"total",36576
"university of hawaii manoa","honolulu","HI",1974,1973,"federal",14065
"university of hawaii manoa","honolulu","HI",1974,1973,"total",21143
"northwestern university","evanston","IL",1974,1973,"federal",13105
"northwestern university","evanston","IL",1974,1973,"total",17277
"university of chicago","chicago","IL",1974,1973,"federal",39126
"university of chicago","chicago","IL",1974,1973,"total",52581
"university of illinois at urbana champaign","champaign","IL",1974,1973,"federal",32454
"university of illinois at urbana champaign","champaign","IL",1974,1973,"total",48652
"university of iowa","iowa city","IA",1974,1973,"federal",15057
"university of iowa","iowa city","IA",1974,1973,"total",17178
"harvard university","cambridge","MA",1974,1973,"federal",47293
"harvard university","cambridge","MA",1974,1973,"total",58207
"massachusetts institute of technology","cambridge","MA",1974,1973,"federal",62455
"massachusetts institute of technology","cambridge","MA",1974,1973,"total",76993
"michigan state university","east lansing","MI",1974,1973,"federal",21253
"michigan state university","east lansing","MI",1974,1973,"total",32683
"washington university in st louis","saint louis","MO",1974,1973,"federal",23497
"washington university in st louis","saint louis","MO",1974,1973,"total",25923
"princeton university","princeton","NJ",1974,1973,"federal",13413
"princeton university","princeton","NJ",1974,1973,"total",18945
"columbia university in the city of new york","new york","NY",1974,1973,"federal",45210
"columbia university in the city of new york","new york","NY",1974,1973,"total",56465
"new york university","new york","NY",1974,1973,"federal",25994
"new york university","new york","NY",1974,1973,"total",34333
"university of rochester","rochester","NY",1974,1973,"federal",28559
"university of rochester","rochester","NY",1974,1973,"total",38850
"yeshiva university","new york","NY",1974,1973,"federal",20906
"yeshiva university","new york","NY",1974,1973,"total",24595
"duke university","durham","NC",1974,1973,"federal",17621
"duke university","durham","NC",1974,1973,"total",21208
"university of north carolina chapel hill","chapel hill","NC",1974,1973,"federal",22412
"university of north carolina chapel hill","chapel hill","NC",1974,1973,"total",25380
"case western reserve university","cleveland","OH",1974,1973,"federal",14985
"case western reserve university","cleveland","OH",1974,1973,"total",18395
"university of pennsylvania","philadelphia","PA",1974,1973,"federal",37892
