"state","mean_fed_share","sd_fed_share","min_fed_share","max_fed_share","range_fed_share"
"IA",0.570191691856169,0.161062527457368,0.326575915696006,0.898101851851852,0.571525936155846
"TN",0.686340585038836,0.150562623825382,0.408957520900447,0.889224907409874,0.480267386509427
"NC",0.652839772036078,0.143845060489416,0.431858392780682,0.951324136542141,0.519465743761459
"WA",0.707492496936226,0.136560958575474,0.403314286366672,0.866197431555179,0.462883145188507
"CA",0.75331412613903,0.133752410265071,0.508893901647456,0.907399222065064,0.398505320417607
"DC",0.660221531457697,0.132952385392198,0.416285893762208,0.851681199148465,0.435395305386256
"VA",0.588857846879044,0.128008482531334,0.446268914098294,0.853506119269206,0.407237205170912
"NH",0.585875031697704,0.127898985441535,0.427109776484428,0.769920284139669,0.342810507655241
"AL",0.571753070000653,0.124668846043276,0.340290675074504,0.765402310951269,0.425111635876764
"RI",0.582566400819931,0.12157478162571,0.350569236309244,0.718609204179046,0.368039967869803
"CT",0.719411795103727,0.11274358974013,0.5348243132703,0.895406230629721,0.36058191735942
"MD",0.826146033869082,0.109686626283621,0.592536190502089,0.948408443935081,0.355872253432991
"MA",0.713698310822949,0.102507709021256,0.518000184846934,0.870816862307251,0.352816677460317
"OH",0.653997384342184,0.0994889547498193,0.54069503253124,0.832772738871233,0.292077706339993
"UT",0.704208492655604,0.0968994726195855,0.503357825971956,0.900206348509461,0.396848522537505
"MO",0.701119897365145,0.0960174051028489,0.556624486126644,0.906415152567218,0.349790666440575
"SC",0.440620629610361,0.0766094801510694,0.27243849159726,0.574899997860917,0.302461506263657
"OK",0.432341543808829,0.0763374634249397,0.280568613014668,0.555416766954111,0.274848153939443
"NJ",0.581928666063304,0.0762887804095981,0.458523053960995,0.75583928661904,0.297316232658046
"PA",0.671152695950861,0.0728354013356926,0.543797659477956,0.822197704353212,0.278400044875256
"DE",0.635573862885045,0.0720624018316378,0.472916978100007,0.699658565977104,0.226741587877096
"WI",0.505639179035056,0.0706678135996633,0.363515856021209,0.651037144235408,0.287521288214198
"IN",0.502592748119075,0.067266967785489,0.408433564819735,0.625590542987367,0.217156978167632
"OR",0.616196065469325,0.0671079216685434,0.528438747313479,0.874840021079575,0.346401273766097
"WV",0.46676027766014,0.0669532559655072,0.392050903526826,0.581208448549744,0.189157545022918
"TX",0.424905727200965,0.0655885829561603,0.304473729416673,0.585497561990843,0.28102383257417
"ND",0.303599970324719,0.0647484705236976,0.234898372799264,0.410405081514646,0.175506708715381
"ID",0.445653111869676,0.0646939121943711,0.375144668850963,0.520826630632949,0.145681961781987
"IL",0.672636038538146,0.0616942191780226,0.58966678312205,0.826938184642816,0.237271401520766
"FL",0.529733034169734,0.0595075441577775,0.445113811547527,0.651251526910311,0.206137715362783
"NY",0.647304090082175,0.0591227483624381,0.532919173839226,0.737337197784055,0.20441802394483
"KS",0.476351356809797,0.0580720907815862,0.40555635696505,0.597505082756356,0.191948725791306
"GA",0.544083635519071,0.0563930713232205,0.429272010297186,0.633797939619842,0.204525929322656
"WY",0.423594237939121,0.0522345840186843,0.384183413004131,0.480808032282859,0.0966246192787288
"AR",0.297979327916514,0.0506376329220253,0.207520027975585,0.415321776382541,0.207801748406956
"LA",0.393475165831098,0.0481253823203806,0.288259017366237,0.453762860574831,0.165503843208594
"HI",0.637006524368682,0.0475816133159994,0.564051562559767,0.781378660671728,0.217327098111961
"MS",0.443003846280462,0.0474215990092734,0.341941267063687,0.504608353305398,0.162667086241711
"MT",0.624161675266183,0.0442692599643917,0.563845205520642,0.696388897833017,0.132543692312374
"AZ",0.497023742258511,0.0430034264409274,0.41715724426004,0.576740049837995,0.159582805577954
"NE",0.362545548405922,0.0415800778310548,0.323635944325366,0.459247076023392,0.135611131698026
"KY",0.448312549743261,0.0412360516338013,0.343665323095168,0.52572656242255,0.182061239327381
"CO",0.745986436996174,0.0397572148389998,0.666968963509911,0.823228301522937,0.156259338013026
"MI",0.571063830104444,0.0351711058305862,0.504403100095577,0.642981344611043,0.138578244515466
"MN",0.546064637984164,0.0346410499032833,0.486339444611457,0.600488120020099,0.114148675408642
"NV",0.397614605120093,0.0324253330287958,0.354002454246373,0.433756166314306,0.0797537120679326
"ME",0.484299385762929,0.0283618993027926,0.444472449097758,0.511555287373661,0.067082838275903
"NM",0.690564337936343,0.0275298403100736,0.625199366535728,0.738349239453222,0.113149872917494
"VT",0.659851880050982,0.0247284890960307,0.628811660961335,0.692385208552401,0.0635735475910657
